source,body_name,corner_label,morph,q,stage_index,user_stage,pole_freq_hz,pole_radius,zero_freq_hz,zero_radius,c0,c1,c2,c3,c4,stage_peak_db,cancellation_db,role,source_file
compiled-v1,throat_shelf_pressure,M0_Q100,0.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M0_Q100,0.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M0_Q100,0.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M0_Q100,0.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,0,S1,,,,,1.0,-1.017285168170929,0.299072265625,-1.1026721000671387,0.334228515625,13.98,-15.95,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,1,S2,,,,,1.0,-0.38146495819091797,0.040000004972854164,-0.9414752125740051,0.24365117987577012,15.83,-8.23,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q0,1.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,0,S1,,,,,1.0,-1.017285168170929,0.299072265625,-1.1026721000671387,0.334228515625,13.98,-15.95,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,1,S2,,,,,1.0,-0.38146495819091797,0.040000004972854164,-0.9414752125740051,0.24365117987577012,15.83,-8.23,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,throat_shelf_pressure,M100_Q100,1.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\throat_shelf_pressure.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,0,S1,,,,,1.0,-1.0352775193750858,0.26910156290978193,-1.0598400831222534,0.2822265625,15.84,-17.62,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,1,S2,,,,,1.0,-0.3989986181259155,0.039999965460310705,-1.0451570749282837,0.2744607514453037,12.27,-8.83,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q0,0.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,0,S1,,,,,1.0,-1.0352775193750858,0.26910156290978193,-1.0598400831222534,0.2822265625,15.84,-17.62,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,1,S2,,,,,1.0,-0.3989986181259155,0.039999965460310705,-1.0451570749282837,0.2744607514453037,12.27,-8.83,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M0_Q100,0.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,0,S1,,,,,1.0,-1.0146556347608566,0.31993164122104645,-1.149880051612854,0.371337890625,12.63,-15.31,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,1,S2,,,,,1.0,-0.7767555713653564,0.1694466418027878,-0.37739652395248413,0.040000001192092904,10.38,-10.64,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q0,1.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,0,S1,,,,,1.0,-1.0146556347608566,0.31993164122104645,-1.149880051612854,0.371337890625,12.63,-15.31,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,1,S2,,,,,1.0,-0.7767555713653564,0.1694466418027878,-0.37739652395248413,0.040000001192092904,10.38,-10.64,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,2,S3,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,3,S4,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,4,S5,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,5,S6,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
compiled-v1,vowel_shelf_fold,M100_Q100,1.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,authoring\peak_shelf\generated\vowel_shelf_fold.raw.compiled.json
raw-v1,filter_001,M0,0,,0,S1,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,tmp\filter_001.raw.json
raw-v1,filter_001,M0,0,,1,S2,800.0,0.92,,,,,,,,34.1,-11.27,,tmp\filter_001.raw.json
raw-v1,filter_001,M0,0,,2,S3,1200.0,0.92,,,,,,,,30.61,-11.23,,tmp\filter_001.raw.json
raw-v1,filter_001,M0,0,,3,S4,2600.0,0.92,,,,,,,,24.08,-10.93,,tmp\filter_001.raw.json
raw-v1,filter_001,M0,0,,4,S5,3500.0,0.88,,,,,,,,18.36,-10.25,,tmp\filter_001.raw.json
raw-v1,filter_001,M0,0,,5,S6,5000.0,0.96,0.0,1.0,,,,,,20.73,-95.12,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,0,S1,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,1,S2,520.0,0.92,,,,,,,,37.83,-11.29,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,2,S3,2000.0,0.92,,,,,,,,26.24,-11.08,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,3,S4,3000.0,0.92,,,,,,,,22.92,-10.8,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,4,S5,9000.0,0.88,,,,,,,,12.97,-5.94,,tmp\filter_001.raw.json
raw-v1,filter_001,M100,1,,5,S6,10000.0,0.96,0.0,1.0,,,,,,28.46,-105.7,,tmp\filter_001.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,0,S1,500.0,0.88,,,,,,,,33.94,-10.93,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,1,S2,1200.0,0.92,,,,,,,,30.61,-11.23,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,2,S3,90.0,0.88,,,,,,,,36.72,-10.94,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,3,S4,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,4,S5,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M0,0,,5,S6,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,0,S1,6000.0,0.88,,,,,,,,14.63,-8.84,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,1,S2,3500.0,0.92,,,,,,,,21.59,-10.61,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,2,S3,180.0,0.88,,,,,,,,36.39,-10.94,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,3,S4,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,4,S5,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
raw-v1,filter_001_variant_hp_to_lp,M100,1,,5,S6,,,,,,,,,,0.0,0.0,,tmp\filter_001_variant.raw.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,0,S1,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,1,S2,,,,,1.0,0.0,8.201599399626502e-09,-1.8247872591018677,0.8464000307083133,-4.52,-8.3,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,2,S3,,,,,1.0,0.0,8.201599399626502e-09,-1.8058302402496338,0.8464000307083133,-4.42,-8.25,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,3,S4,,,,,1.0,0.0,8.201599399626502e-09,-1.681424856185913,0.8464000307083133,-3.75,-7.96,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,4,S5,,,,,0.07150434702634811,0.14300869405269623,0.07150434702634811,-1.4883825778961182,0.774399995803833,-15.55,-64.27,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,5,S6,,,,,1.0,-1.9999999403953552,0.9999999597311025,-1.3318142890930176,0.92159995880127,9.94,-102.7,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q0,0.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,0,S1,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,1,S2,,,,,1.0,0.0,8.201599399626502e-09,-1.8247872591018677,0.8464000307083133,-4.52,-8.3,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,2,S3,,,,,1.0,0.0,8.201599399626502e-09,-1.8058302402496338,0.8464000307083133,-4.42,-8.25,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,3,S4,,,,,1.0,0.0,8.201599399626502e-09,-1.681424856185913,0.8464000307083133,-3.75,-7.96,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,4,S5,,,,,0.07150434702634811,0.14300869405269623,0.07150434702634811,-1.4883825778961182,0.774399995803833,-15.55,-64.27,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,5,S6,,,,,1.0,-1.9999999403953552,0.9999999597311025,-1.3318142890930176,0.92159995880127,9.94,-102.7,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M0_Q100,0.0,1.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,0,S1,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,1,S2,,,,,1.0,0.0,8.201599399626502e-09,-1.833567500114441,0.8464000307083133,-4.57,-8.32,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,2,S3,,,,,1.0,0.0,8.201599399626502e-09,-1.7456072568893433,0.8464000307083133,-4.11,-8.11,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,3,S4,,,,,1.0,0.0,8.201599399626502e-09,-1.6298998594284058,0.8464000307083133,-3.46,-7.84,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,4,S5,,,,,0.38955065608024597,0.7791013121604919,0.38955065608024597,-0.21619731187820435,0.774399995803833,10.95,-32.78,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,5,S6,,,,,1.0,-1.9999998956918716,0.9999999597311025,0.07236514985561371,0.92159995880127,24.04,-58.49,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,8,S9,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,9,S10,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,10,S11,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q0,1.0,0.0,11,S12,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,0,S1,,,,,1.0,-2.0,1.0000000441074377,-1.6998592615127563,0.722500040531159,8.88,-105.66,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,1,S2,,,,,1.0,0.0,8.201599399626502e-09,-1.833567500114441,0.8464000307083133,-4.57,-8.32,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,2,S3,,,,,1.0,0.0,8.201599399626502e-09,-1.7456072568893433,0.8464000307083133,-4.11,-8.11,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,3,S4,,,,,1.0,0.0,8.201599399626502e-09,-1.6298998594284058,0.8464000307083133,-3.46,-7.84,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,4,S5,,,,,0.38955065608024597,0.7791013121604919,0.38955065608024597,-0.21619731187820435,0.774399995803833,10.95,-32.78,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,5,S6,,,,,1.0,-1.9999998956918716,0.9999999597311025,0.07236514985561371,0.92159995880127,24.04,-58.49,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,6,S7,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
compiled-v1,filter_001,M100_Q100,1.0,1.0,7,S8,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,tmp\filter_001.compiled.json
